"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"ST","2025-09-04","85.8","-2.49","5.54","Skenes, Paul",606192,694973,,"foul",,,,,5,"Teoscar Hernández flies out to right fielder Bryan Reynolds.","R","R","R","PIT","LAD","S",,,1,1,2025,"0.86","1","-0.21","2.71",,,,0,2,"Top",,,,,,,3.7060344900592144,-125.13575610115761,-2.6062439076826593,8.472634965759173,21.62894690344294,-21.27072827806527,"3.62","1.71",246,"76.6",43,"87.7",2327,"7",776461,680779,694377,693304,687478,669707,502054,672744,668804,"53.46",,,,,,,,9,3,"Sweeper",0,0,0,0,0,0,0,0,"Standard","Standard",104,"0","-0.06","63.3","6.6",,"0.06","88.0",0,0,"0.5","0.5",23,32,23,33,1,0,6,1,6,1,"2.05","-0.86","-0.86","26.0",-7.888084684882819,15.648745043536106,30.094616476566987,38.17695890712271,17.19550535407319
"SI","2025-09-04","98.7","-2.34","5.6","Skenes, Paul",606192,694973,,"ball",,,,,13,"Teoscar Hernández flies out to right fielder Bryan Reynolds.","R","R","R","PIT","LAD","B",,,0,1,2025,"-1.43","0.41","-1.42","1.72",,,,0,2,"Top",,,,,,,5.873455612470991,-143.65571321974073,-6.129293496582434,-21.17583008763025,31.729368092405892,-25.252887860985958,"3.46","1.71",,,,"99.7",2285,"6.7",776461,680779,694377,693304,687478,669707,502054,672744,668804,"53.78",,,,,,,,9,2,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",237,"0","0.031",,,,"-0.031",,0,0,"0.5","0.5",23,32,23,33,1,0,6,1,6,1,"1.92","1.43","1.43","20.4",,,,,
"SI","2025-09-04","97.6","-2.42","5.62","Skenes, Paul",606192,694973,,"foul",,,,,13,"Teoscar Hernández flies out to right fielder Bryan Reynolds.","R","R","R","PIT","LAD","S",,,0,0,2025,"-1.23","0.31","-0.37","1.5",,,,0,2,"Top",,,,,,,8.386158859933763,-141.82800546701804,-6.3362122345346865,-18.491793084713706,30.462285916989337,-26.776528059309452,"3.62","1.71",1,"85.6",-49,"98.5",2327,"6.7",776461,680779,694377,693304,687478,669707,502054,672744,668804,"53.77",,,,,,,,9,1,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",240,"0","-0.04","67.9","7.9",,"0.04","88.0",0,0,"0.5","0.5",23,32,23,33,1,0,6,1,6,1,"2.08","1.23","1.23","21.5",14.098205964211777,9.394598624085596,36.73150802720482,35.447552638563636,25.40399422679541
"CH","2025-09-04","91.9","-3.14","5.47","Skenes, Paul",518692,694973,"field_out","hit_into_play",,,,,8,"Freddie Freeman pops out to second baseman Nick Gonzales.","R","L","R","PIT","LAD","X",4,"popup",3,2,2025,"-1.35","0.5","-0.25","2.08",,,,2,1,"Top",147.64,162.54,,,,,10.325839933121587,-133.25446052127603,-3.750622833268907,-18.438386960027312,32.230137104109374,-25.5484951222178,"3.69","1.77",123,"91.1",69,"92.1",1739,"6.9",776461,680779,694377,693304,687478,669707,502054,672744,668804,"53.59",0.006,0.005,"0",1,0,0,3,3,6,"Changeup",0,0,0,0,0,0,0,0,"Strategic","Standard",260,"0.01","-0.332","74.7","7.9",0.006,"0.332","91.1",0,0,"0.537","0.463",23,35,23,36,1,0,6,1,6,1,"2.25","1.35","-1.35","20.8",20.22025231775556,-22.214516307721325,45.09889770885331,40.25352993436031,39.66537019241112
"CH","2025-09-04","91.5","-3.28","5.53","Skenes, Paul",518692,694973,,"ball",,,,,13,"Freddie Freeman pops out to second baseman Nick Gonzales.","R","L","R","PIT","LAD","B",,,2,2,2025,"-1.5","0.27","-1.92","2.62",,,,2,1,"Top",,,,,,,6.752228403246417,-132.97376537259183,-1.9196137255196102,-19.22203222158438,34.41518237358795,-28.810890795358908,"3.65","1.77",,,,"91.6",1802,"6.9",776461,680779,694377,693304,687478,669707,502054,672744,668804,"53.6",,,,,,,,3,5,"Changeup",0,0,0,0,0,0,0,0,"Strategic","Standard",260,"0","0.107",,,,"-0.107",,0,0,"0.537","0.463",23,35,23,36,1,0,6,1,6,1,"2.51","1.5","-1.5","18.7",,,,,
"FF","2025-09-04","98.9","-2.97","5.53","Skenes, Paul",518692,694973,,"ball",,,,,6,"Freddie Freeman pops out to second baseman Nick Gonzales.","R","L","R","PIT","LAD","B",,,1,2,2025,"-1.03","1.18","0.76","2.75",,,,2,1,"Top",,,,,,,12.626818516008218,-143.45563788778503,-4.911524617293229,-17.097485997588617,32.39033856406582,-14.858456563610055,"3.6","1.81",,,,"99.4",2432,"6.7",776461,680779,694377,693304,687478,669707,502054,672744,668804,"53.79",,,,,,,,3,4,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Strategic","Standard",236,"0","0.043",,,,"-0.043",,0,0,"0.537","0.463",23,35,23,36,1,0,6,1,6,1,"1.16","1.03","-1.03","20.7",,,,,
"CU","2025-09-04","85.5","-3","5.65","Skenes, Paul",518692,694973,,"foul",,,,,9,"Freddie Freeman pops out to second baseman Nick Gonzales.","R","L","R","PIT","LAD","S",,,1,1,2025,"0.59","-0.3","0.53","2.14",,,,2,1,"Top",,,,,,,7.214485807455811,-124.45664062890535,-1.416776354119201,4.7200203475207765,24.190295079939744,-35.21801570232206,"3.69","1.77",,,,"86.5",2485,"6.8",776461,680779,694377,693304,687478,669707,502054,672744,668804,"53.68",,,,,,,,3,3,"Curveball",0,0,0,0,0,0,0,0,"Strategic","Standard",94,"0","-0.063","66.7","6.7",,"0.063",,0,0,"0.537","0.463",23,35,23,36,1,0,6,1,6,1,"3.41","-0.59","0.59","26.0",-4.452461902954267,3.456730200099922,47.125241738504194,30.826688452587582,25.15706489322737
"FF","2025-09-04","98","-2.98","5.62","Skenes, Paul",518692,694973,,"foul",,,,,4,"Freddie Freeman pops out to second baseman Nick Gonzales.","R","L","R","PIT","LAD","S",,,1,0,2025,"-1.09","0.92","-0.3","3.05",,,,2,1,"Top",,,,,,,9.804059459709794,-142.3181462866157,-3.5900865029723565,-17.02013808041129,32.520684899641374,-19.03885764081175,"3.69","1.77",218,"80.4",21,"98.6",2326,"6.7",776461,680779,694377,693304,687478,669707,502054,672744,668804,"53.77",,,,,,,,3,2,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Strategic","Standard",243,"0","-0.054","72.1","6.8",,"0.054","88.0",0,0,"0.537","0.463",23,35,23,36,1,0,6,1,6,1,"1.46","1.09","-1.09","23.8",12.341660533492409,-4.146748011333814,36.896180281548745,41.91481299213549,28.45155351414586
"CU","2025-09-04","85.3","-3.06","5.62","Skenes, Paul",518692,694973,,"ball",,,,,13,"Freddie Freeman pops out to second baseman Nick Gonzales.","R","L","R","PIT","LAD","B",,,0,0,2025,"0.57","-0.35","-0.36","1.13",,,,2,1,"Top",,,,,,,5.279340901411966,-124.187829936105,-3.6154776497574126,4.883451099709302,23.882853552405756,-35.34304711184112,"3.61","1.77",,,,"86.3",2502,"6.8",776461,680779,694377,693304,687478,669707,502054,672744,668804,"53.66",,,,,,,,3,1,"Curveball",0,0,0,0,0,0,0,0,"Strategic","Standard",89,"0","0.039",,,,"-0.039",,0,0,"0.537","0.463",23,35,23,36,1,0,6,1,6,1,"3.47","-0.57","0.57","25.0",,,,,
"SI","2025-09-04","98","-2.42","5.61","Skenes, Paul",605141,694973,"field_out","hit_into_play",,,,,4,"Mookie Betts grounds out, third baseman Cam Devanney to first baseman Nick Yorke.","R","R","R","PIT","LAD","X",5,"ground_ball",0,1,2025,"-1.38","0.56","-0.77","2.59",,,,1,1,"Top",90.98,168.36,,,,,7.7147305865685585,-142.5459354586416,-3.9928472841292173,-20.575315763945312,32.376142200408786,-23.787917278624768,"3.26","1.53",27,"88.7",-4,"98.6",2317,"6.6",776461,680779,694377,693304,687478,669707,502054,672744,668804,"53.86",0.206,0.202,"0",1,0,0,2,2,2,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",240,"0.015","-0.217","61.8","7.1",0.259,"0.217","88.7",0,0,"0.522","0.478",23,32,23,33,1,0,6,1,6,1,"1.81","1.38","1.38","20.2",11.149004170626357,-13.007083772978437,35.72200328989523,29.021897451500845,32.239262175488825
"ST","2025-09-04","86.9","-2.49","5.52","Skenes, Paul",605141,694973,,"called_strike",,,,,5,"Mookie Betts grounds out, third baseman Cam Devanney to first baseman Nick Yorke.","R","R","R","PIT","LAD","S",,,0,0,2025,"0.67","0.67","-0.13","2.27",,,,1,1,"Top",,,,,,,4.296299844107716,-126.48532034727653,-2.936412719532586,6.2695234833475775,27.011029261577793,-24.604018317250198,"3.26","1.57",,,,"86.9",2323,"6.4",776461,680779,694377,693304,687478,669707,502054,672744,668804,"54.12",,,,,,,,2,1,"Sweeper",0,0,0,0,0,0,0,0,"Standard","Standard",100,"0","-0.04",,,,"0.04",,0,0,"0.522","0.478",23,32,23,33,1,0,6,1,6,1,"2.36","-0.67","-0.67","28.9",,,,,
"FF","2025-09-04","98.8","-2.98","5.56","Skenes, Paul",660271,694973,"strikeout","swinging_strike",,,,,2,"Shohei Ohtani strikes out swinging.","R","L","R","PIT","LAD","S",2,,2,2,2025,"-0.99","1.04","-0.23","3.33",,,,0,1,"Top",,,,,,,9.845191645909951,-143.48806381174643,-3.047539993569887,-15.899031830612202,33.42071037810021,-17.3186788785496,"3.54","1.64",,,,"99.3",2385,"6.7",776461,680779,694377,693304,687478,669707,502054,672744,668804,"53.82",,0,"0",1,0,0,,1,7,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Strategic","Standard",239,"0.022","-0.235","77.2","7.4",,"0.235",,0,0,"0.5","0.5",23,30,23,31,1,0,6,1,6,1,"1.31","0.99","-0.99","20.9",9.379080474232266,8.555950467197981,31.34837925897873,42.678552037638205,17.087801587260714
"CH","2025-09-04","89.9","-3.12","5.54","Skenes, Paul",660271,694973,,"ball",,,,,13,"Shohei Ohtani strikes out swinging.","R","L","R","PIT","LAD","B",,,1,2,2025,"-1.14","0","-1.58","1.06",,,,0,1,"Top",,,,,,,6.256600081753374,-130.74630712782957,-5.140937767196522,-14.44892532719816,27.874784006397388,-31.235264529487225,"3.54","1.68",,,,"90.3",1598,"6.6",776461,680779,694377,693304,687478,669707,502054,672744,668804,"53.94",,,,,,,,1,6,"Changeup",0,0,0,0,0,0,0,0,"Infield shade","Standard",267,"0","0.043",,,,"-0.043",,0,0,"0.5","0.5",23,30,23,31,1,0,6,1,6,1,"2.82","1.14","-1.14","21.3",,,,,
"CU","2025-09-04","85.7","-3.03","5.59","Skenes, Paul",660271,694973,,"foul",,,,,9,"Shohei Ohtani strikes out swinging.","R","L","R","PIT","LAD","S",,,1,2,2025,"0.69","-0.12","0.47","1.6",,,,0,1,"Top",,,,,,,6.9378618164723465,-124.72058893457604,-2.9839104354410306,5.923567165963805,23.065732281998276,-33.06886854803542,"3.54","1.64",130,"71",73,"86.6",2516,"6.7",776461,680779,694377,693304,687478,669707,502054,672744,668804,"53.83",,,,,,,,1,5,"Curveball",0,0,0,0,0,0,0,0,"Strategic","Standard",97,"0","0","77.3","7.9",,"0","88.0",0,0,"0.5","0.5",23,30,23,31,1,0,6,1,6,1,"3.2","-0.69","0.69","26.8",16.94329298643977,-9.481419381266944,45.68754179937122,35.33072938189254,35.3776926897136
"CU","2025-09-04","87.4","-3.02","5.57","Skenes, Paul",660271,694973,,"ball",,,,,14,"Shohei Ohtani strikes out swinging.","R","L","R","PIT","LAD","B",,,0,2,2025,"0.49","-0.15","0.4","0.92",,,,0,1,"Top",,,,,,,7.3079846249873945,-127.11188355525873,-4.833017717847547,3.958059595626424,23.72514533038112,-33.033932668085804,"3.5","1.68",,,,"88.3",2342,"6.7",776461,680779,694377,693304,687478,669707,502054,672744,668804,"53.81",,,,,,,,1,4,"Curveball",0,0,0,0,0,0,0,0,"Strategic","Standard",89,"0","0.025",,,,"-0.025",,0,0,"0.5","0.5",23,30,23,31,1,0,6,1,6,1,"3.11","-0.49","0.49","24.1",,,,,
"FF","2025-09-04","98.1","-2.93","5.58","Skenes, Paul",660271,694973,,"foul",,,,,1,"Shohei Ohtani strikes out swinging.","R","L","R","PIT","LAD","S",,,0,2,2025,"-0.97","0.9","-0.55","3.48",,,,0,1,"Top",,,,,,,8.758451105374387,-142.6542459731437,-2.2613276993364,-15.339828536291963,34.423249600820185,-19.562527476071114,"3.54","1.64",,,,"98.6",2145,"6.7",776461,680779,694377,693304,687478,669707,502054,672744,668804,"53.77",,,,,,,,1,3,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shade","Standard",237,"0","0","73.1","7.8",,"0",,0,0,"0.5","0.5",23,30,23,31,1,0,6,1,6,1,"1.48","0.97","-0.97","23.6",14.371195269306243,-5.919674635093311,27.552476774426996,46.11411206332498,23.89454952787103
"FF","2025-09-04","97.9","-3.01","5.6","Skenes, Paul",660271,694973,,"swinging_strike",,,,,1,"Shohei Ohtani strikes out swinging.","R","L","R","PIT","LAD","S",,,0,1,2025,"-1.28","1.06","-0.56","3.42",,,,0,1,"Top",,,,,,,9.60493135187169,-142.4251465086362,-2.877857143806296,-19.57432199847443,28.618096168608368,-17.254038534754436,"3.54","1.64",,,,"98.8",2386,"6.5",776461,680779,694377,693304,687478,669707,502054,672744,668804,"54",,,,,,,,1,2,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Strategic","Standard",237,"0","-0.054","72.7","7.5",,"0.054",,0,0,"0.5","0.5",23,30,23,31,1,0,6,1,6,1,"1.3","1.28","-1.28","19.6",14.935461935944902,9.881136541140867,31.155727298100484,45.31946144279624,14.422028804707988
"FF","2025-09-04","97.3","-3","5.66","Skenes, Paul",660271,694973,,"swinging_strike",,,,,5,"Shohei Ohtani strikes out swinging.","R","L","R","PIT","LAD","S",,,0,0,2025,"-1.11","1.3","0.17","2.61",,,,0,1,"Top",,,,,,,11.134170308285734,-141.27787327281632,-5.715985802137367,-17.260839743382697,29.209300889515585,-13.56856886002924,"3.54","1.64",,,,"98.5",2389,"6.9",776461,680779,694377,693304,687478,669707,502054,672744,668804,"53.61",,,,,,,,1,1,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Strategic","Standard",235,"0","-0.04","76.4","6.9",,"0.04",,0,0,"0.5","0.5",23,30,23,31,1,0,6,1,6,1,"1.1","1.11","-1.11","28.6",3.194337939102847,9.23113772244361,41.488161381482634,37.6327214629594,15.48494579556577
"FF","2025-08-29","99.1","-2.84","5.55","Skenes, Paul",686765,694973,"strikeout","called_strike",,,,,3,"Nick Sogard called out on strikes.","R","L","R","BOS","PIT","S",2,,1,2,2025,"-1.12","1.02","0.56","3.14",,,,2,6,"Bot",,,,,,,12.084540744652852,-143.80708158528634,-3.5620325375560475,-18.421131212965367,34.21504943569796,-17.31575017931046,"3.21","1.49",,,,"100.2",2258,"7.1",776549,680779,687462,693304,643396,669707,502054,665833,668804,"53.38",,0,"0",1,0,0,,50,4,"4-Seam Fastball",2,3,2,3,3,2,2,3,"Standard","Standard",241,"-0.019","-0.182",,,,"0.182",,-1,-1,"0.319","0.319",23,27,23,28,3,2,5,61,6,5,"1.32","1.12","-1.12","22.7",,,,,
"FF","2025-08-29","97.4","-2.44","5.55","Skenes, Paul",686765,694973,,"swinging_strike",,,,,1,"Nick Sogard called out on strikes.","R","L","R","BOS","PIT","S",,,1,1,2025,"-1.22","0.97","-0.81","3.07",,,663853,1,6,"Bot",,,,,,,7.2923288599439875,-141.67926752209868,-3.400392817453259,-18.171037674549442,32.74564433810265,-18.499598000177212,"3.14","1.43",,,,"98.4",2244,"6.9",776549,680779,687462,693304,643396,669707,502054,665833,668804,"53.58",,,,,,,,50,3,"4-Seam Fastball",2,3,2,3,3,2,2,3,"Standard","Standard",235,"-0.073","-0.057","61.0","5.5",,"0.057",,-1,-1,"0.392","0.392",23,27,23,28,3,2,5,61,6,5,"1.43","1.22","-1.22","26.6",-3.6757758787299,32.926784513164975,33.40289370493099,44.138691784875796,16.349869295549617
"FS","2025-08-29","95.2","-2.48","5.64","Skenes, Paul",686765,694973,,"ball",,,,,13,"Nick Sogard called out on strikes.","R","L","R","BOS","PIT","B",,,0,1,2025,"-1.16","-0.05","-0.97","1.53",,,663853,1,6,"Bot",,,,,,,6.674960730784972,-138.45330279184031,-5.11508132208901,-16.37281997686078,29.681243652171737,-31.888281831344337,"3.11","1.36",,,,"96.7",1670,"7.1",776549,680779,687462,693304,643396,669707,502054,665833,668804,"53.4",,,,,,,,50,2,"Split-Finger",2,3,2,3,3,2,2,3,"Standard","Standard",243,"0","0.021",,,,"-0.021",,-1,-1,"0.392","0.392",23,27,23,28,3,2,5,61,6,5,"2.56","1.16","-1.16","24.4",,,,,
"FS","2025-08-29","94.6","-2.54","5.57","Skenes, Paul",686765,694973,,"called_strike",,,,,4,"Nick Sogard called out on strikes.","R","L","R","BOS","PIT","S",,,0,0,2025,"-1.24","0.37","-0.48","2.25",,,663853,1,6,"Bot",,,,,,,8.25971674259008,-137.51320298352385,-3.853187009694919,-17.50621292529534,29.38605438322768,-26.833660291768496,"3.16","1.41",,,,"95.9",1718,"7",776549,680779,687462,693304,643396,669707,502054,665833,668804,"53.5",,,,,,,,50,1,"Split-Finger",2,3,2,3,3,2,2,3,"Standard","Standard",246,"0","-0.041",,,,"0.041",,-1,-1,"0.392","0.392",23,27,23,28,3,2,5,61,6,5,"2.18","1.24","-1.24","23.4",,,,,
"SI","2025-08-29","97.1","-2.26","5.54","Skenes, Paul",663853,694973,"single","hit_into_play",,,,,13,"Romy Gonzalez singles on a ground ball to third baseman Isiah Kiner-Falefa.","R","R","R","BOS","PIT","X",5,"ground_ball",0,0,2025,"-1.4","0.61","-0.55","1.51",,,,1,6,"Bot",113.81,176.51,,,,,7.843313607727744,-141.09521885364828,-6.693884423540925,-20.420637907372292,31.135837278731245,-22.735636019440825,"3.6","1.76",1,"67.5",-51,"98.2",2333,"6.9",776549,680779,687462,693304,643396,669707,502054,665833,668804,"53.61",0.231,0.243,"0.9",1,1,0,2,49,1,"Sinker",2,3,2,3,3,2,2,3,"Standard","Standard",239,"0.045","0.417","73.1","6.7",0.231,"-0.417","88.0",-1,-1,"0.347","0.347",23,28,23,29,3,2,5,1,6,1,"1.81","1.4","1.4","20.3",-5.529269860413973,12.951341909465235,38.700671738161056,34.09242934602564,13.867197546853077
"FF","2025-08-29","98.2","-2.72","5.63","Skenes, Paul",807799,694973,"field_out","hit_into_play",,,,,2,"Masataka Yoshida grounds out, third baseman Isiah Kiner-Falefa to first baseman Spencer Horwitz.","R","L","R","BOS","PIT","X",5,"ground_ball",2,2,2025,"-1.15","1.04","-0.21","2.82",,,,0,6,"Bot",104.69,164.35,,,,,9.591065947775046,-142.6876455695124,-4.650562869214684,-17.78677675214472,29.79818365249381,-17.05914428728419,"3.26","1.43",8,"97.8",-19,"100",2182,"7.2",776549,680779,687462,693304,643396,669707,502054,665833,668804,"53.34",0.171,0.135,"0",1,0,0,2,48,6,"4-Seam Fastball",2,3,2,3,3,2,2,3,"Infield shade","Standard",238,"-0.04","-0.235","66.5","5.9",0.192,"0.235","97.8",-1,-1,"0.387","0.387",23,31,23,32,3,2,5,2,6,1,"1.31","1.15","-1.15","26.6",-8.862980259472192,31.505171675570807,31.258028475987988,34.90498676398893,14.076300851839711
"CH","2025-08-29","89.5","-3.01","5.6","Skenes, Paul",807799,694973,,"foul",,,,,8,"Masataka Yoshida grounds out, third baseman Isiah Kiner-Falefa to first baseman Spencer Horwitz.","R","L","R","BOS","PIT","S",,,2,2,2025,"-1.21","0.69","0.17","1.53",,,,0,6,"Bot",,,,,,,10.475391673825499,-129.93718138103202,-5.538583904084596,-15.895490128035478,26.773797517450774,-23.36627677803674,"3.26","1.43",25,"73.7",-2,"90.3",1718,"6.8",776549,680779,687462,693304,643396,669707,502054,665833,668804,"53.65",,,,,,,,48,5,"Changeup",2,3,2,3,3,2,2,3,"Infield shade","Standard",254,"0","0","67.9","8.3",,"0","88.0",-1,-1,"0.387","0.387",23,31,23,32,3,2,5,2,6,1,"2.17","1.21","-1.21","26.7",24.513532664910915,-17.51342050888744,39.83489662271283,31.315698963681182,41.85398976732623
"CU","2025-08-29","84.2","-2.88","5.74","Skenes, Paul",807799,694973,,"foul",,,,,8,"Masataka Yoshida grounds out, third baseman Isiah Kiner-Falefa to first baseman Spencer Horwitz.","R","L","R","BOS","PIT","S",,,2,1,2025,"0.5","-0.3","0.01","1.87",,,,0,6,"Bot",,,,,,,5.786104698416777,-122.53402063397043,-2.033468610414909,3.961132928823731,23.94553000006261,-34.98705405804798,"3.26","1.43",,,,"85.4",2460,"7.1",776549,680779,687462,693304,643396,669707,502054,665833,668804,"53.45",,,,,,,,48,4,"Curveball",2,3,2,3,3,2,2,3,"Infield shade","Standard",84,"0","-0.073","71.0","7.9",,"0.073",,-1,-1,"0.387","0.387",23,31,23,32,3,2,5,2,6,1,"3.51","-0.5","0.5","30.8",23.00778354657871,-10.740873969721653,32.65923947633978,33.623603941615855,40.20400588889628
"CH","2025-08-29","89.8","-2.91","5.54","Skenes, Paul",807799,694973,,"ball",,,,,14,"Masataka Yoshida grounds out, third baseman Isiah Kiner-Falefa to first baseman Spencer Horwitz.","R","L","R","BOS","PIT","B",,,1,1,2025,"-1.4","0.86","1.43","1.14",,,,0,6,"Bot",,,,,,,13.77406603894645,-129.8342269878454,-6.708972822854013,-18.78710232718061,27.729109375409422,-21.110534367889233,"3.3","1.57",,,,"90.1",1761,"6.9",776549,680779,687462,693304,643396,669707,502054,665833,668804,"53.62",,,,,,,,48,3,"Changeup",2,3,2,3,3,2,2,3,"Infield shade","Standard",254,"0","0.055",,,,"-0.055",,-1,-1,"0.387","0.387",23,31,23,32,3,2,5,2,6,1,"2.01","1.4","-1.4","24.4",,,,,
"FF","2025-08-29","97.2","-2.77","5.6","Skenes, Paul",807799,694973,,"ball",,,,,3,"Masataka Yoshida grounds out, third baseman Isiah Kiner-Falefa to first baseman Spencer Horwitz.","R","L","R","BOS","PIT","B",,,0,1,2025,"-1.02","1.11","0.77","3.35",,,,0,6,"Bot",,,,,,,11.96180296321531,-141.03655212871672,-3.0470113295398344,-16.375004088893963,33.369765644013356,-16.866451904060813,"3.33","1.45",,,,"98.1",2309,"7",776549,680779,687462,693304,643396,669707,502054,665833,668804,"53.47",,,,,,,,48,2,"4-Seam Fastball",2,3,2,3,3,2,2,3,"Infield shade","Standard",239,"0","0.031",,,,"-0.031",,-1,-1,"0.387","0.387",23,31,23,32,3,2,5,2,6,1,"1.33","1.02","-1.02","24.0",,,,,
"FF","2025-08-29","96.6","-2.87","5.63","Skenes, Paul",807799,694973,,"called_strike",,,,,11,"Masataka Yoshida grounds out, third baseman Isiah Kiner-Falefa to first baseman Spencer Horwitz.","R","L","R","BOS","PIT","S",,,0,0,2025,"-1.18","1.04","-0.89","3.37",,,,0,6,"Bot",,,,,,,8.034482246012692,-140.42398655634437,-2.8467090289203787,-17.435859910402606,32.41115153717154,-17.90620732831108,"3.28","1.47",,,,"97.5",2288,"6.9",776549,680779,687462,693304,643396,669707,502054,665833,668804,"53.59",,,,,,,,48,1,"4-Seam Fastball",2,3,2,3,3,2,2,3,"Standard","Standard",239,"0","-0.04",,,,"0.04",,-1,-1,"0.387","0.387",23,31,23,32,3,2,5,2,6,1,"1.41","1.18","-1.18","25.7",,,,,
"CH","2025-08-29","90","-2.35","5.5","Skenes, Paul",596115,694973,"strikeout","swinging_strike_blocked",,,,,13,"Trevor Story strikes out swinging.","R","R","R","BOS","PIT","S",2,,2,2,2025,"-1.49","0.33","-0.93","0.69",,,,2,5,"Bot",,,,,,,6.759979926100309,-130.809966528837,-6.6845369712287335,-18.488967478175997,28.36777913124816,-27.111780992200007,"3.48","1.63",,,,"90.9",1733,"6.9",776549,680779,678894,693304,643396,669707,502054,672744,668804,"53.56",,0,"0",1,0,0,,40,7,"Changeup",2,0,2,0,0,2,2,0,"Standard","Standard",259,"-0.006","-0.225","70.3","9.1",,"0.225",,2,2,"0.795","0.795",23,32,23,33,3,2,5,1,6,1,"2.5","1.49","1.49","23.0",34.00857523936284,-53.22647046995284,38.010666536758706,27.638780650819072,64.76176208811276
"SI","2025-08-29","97.8","-2.23","5.5","Skenes, Paul",596115,694973,,"foul",,,,,9,"Trevor Story strikes out swinging.","R","R","R","BOS","PIT","S",,,2,2,2025,"-1.44","0.59","0.47","1.61",,,,2,5,"Bot",,,,,,,10.719025213734342,-141.95688706395705,-6.44378285396514,-21.90069535953118,29.494399787496423,-22.958464807259837,"3.48","1.63",,,,"99",2369,"6.9",776549,680779,678894,693304,643396,669707,502054,672744,668804,"53.6",,,,,,,,40,6,"Sinker",2,0,2,0,0,2,2,0,"Standard","Standard",235,"0","0","75.4","7.4",,"0",,2,2,"0.795","0.795",23,32,23,33,3,2,5,1,6,1,"1.79","1.44","1.44","22.6",2.426036273386211,7.419360592031969,32.71535526594643,44.080376828347184,26.74430345693772
"FF","2025-08-29","98.1","-2.28","5.55","Skenes, Paul",596115,694973,,"foul",,,,,11,"Trevor Story strikes out swinging.","R","R","R","BOS","PIT","S",,,2,2,2025,"-1.37","1.19","-0.24","3.96",,,,2,5,"Bot",,,,,,,8.819307703729901,-142.5484977237622,-1.5592720915093574,-20.70493322639478,33.99428651892826,-15.850329017750456,"3.48","1.63",,,,"99.1",2330,"7",776549,680779,678894,693304,643396,669707,502054,672744,668804,"53.47",,,,,,,,40,5,"4-Seam Fastball",2,0,2,0,0,2,2,0,"Standard","Standard",242,"0","0","67.3","6.5",,"0",,2,2,"0.795","0.795",23,32,23,33,3,2,5,1,6,1,"1.19","1.37","1.37","22.8",10.533686324170167,2.8411221411505037,8.445905145419829,35.76589466925407,29.66026788273173
