"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"CH","2025-09-16","89.4","-2.96","5.54","Skenes, Paul",683737,694973,,"ball",,,,,14,"Michael Busch walks.","R","L","R","PIT","CHC","B",,,1,0,2025,"-1.47","0.42","0","1.05",,,,2,4,"Top",,,,,,,10.40136388668016,-129.62438704604506,-5.874339704906083,-18.73850818655899,28.084194788194385,-26.359263407628564,"3.32","1.57",,,,"89.3",1818,"6.5",776308,680779,687462,694377,669707,693304,669261,665833,672744,"54.02",,,,,,,,32,2,"Changeup",1,3,3,1,3,1,3,1,"Standard","Standard",257,"0","0.065",,,,"-0.065",,-2,2,"0.291","0.709",23,27,23,28,3,2,6,1,,1,"2.46","1.47","-1.47","21.7",,,,,
"CH","2025-09-16","89.9","-3.05","5.52","Skenes, Paul",683737,694973,,"ball",,,,,11,"Michael Busch walks.","R","L","R","PIT","CHC","B",,,0,0,2025,"-1.34","0.55","-1.47","2.9",,,,2,4,"Top",,,,,,,6.802555315645021,-130.7661743414457,-1.662292883841281,-16.879926635184088,28.783310321998886,-25.710211881650437,"3.41","1.62",,,,"90.3",1699,"6.6",776308,680779,687462,694377,669707,693304,669261,665833,672744,"53.85",,,,,,,,32,1,"Changeup",1,3,3,1,3,1,3,1,"Standard","Standard",260,"0","0.039",,,,"-0.039",,-2,2,"0.291","0.709",23,27,23,28,3,2,6,1,,1,"2.28","1.34","-1.34","18.8",,,,,
"CH","2025-09-16","88.2","-2.66","5.42","Skenes, Paul",807713,694973,"strikeout","swinging_strike_blocked",,,,,13,"Matt Shaw strikes out swinging.","R","R","R","PIT","CHC","S",2,,1,2,2025,"-1.42","0.31","-0.28","0.63",,,,1,4,"Top",,,,,,,8.741037840845793,-128.01559016069203,-6.149891998106845,-17.445055988012378,28.403516046919485,-27.581712871599517,"3.2","1.46",,,,"88.1",1652,"6.6",776308,680779,687462,694377,669707,693304,669261,665833,672744,"53.95",,0,"0",1,0,0,,31,4,"Changeup",1,3,3,1,3,1,3,1,"Standard","Standard",261,"0.012","-0.181","70.3","8.3",,"0.181",,-2,2,"0.279","0.721",23,23,23,24,2,1,6,1,,1,"2.65","1.42","1.42","17.5",29.37404527587509,-38.38925956455117,39.134223843419164,28.435045812619965,57.26014480402094
"SL","2025-09-16","84.1","-2.4","5.49","Skenes, Paul",807713,694973,,"foul",,,,,4,"Matt Shaw strikes out swinging.","R","R","R","PIT","CHC","S",,,1,1,2025,"0.32","0.49","-0.48","2.51",,,,1,4,"Top",,,,,,,3.8535402555007034,-122.44126587484247,-1.4291298460073056,2.38741479474376,26.50297296857971,-27.207644626206424,"3.2","1.46",303,"88.6",39,"84.5",2314,"6.7",776308,680779,687462,694377,669707,693304,669261,665833,672744,"53.78",,,,,,,,31,3,"Slider",1,3,3,1,3,1,3,1,"Standard","Standard",89,"0","-0.064","70.4","7.0",,"0.064","88.6",-2,2,"0.279","0.721",23,23,23,24,2,1,6,1,,1,"2.76","-0.32","-0.32","23.2",14.144261719567172,-18.66887607632739,21.818344724977432,26.91412014934318,44.482715516454626
"ST","2025-09-16","83.6","-2.39","5.57","Skenes, Paul",807713,694973,,"called_strike",,,,,2,"Matt Shaw strikes out swinging.","R","R","R","PIT","CHC","S",,,1,0,2025,"1.07","0.25","0","3.07",,,,1,4,"Top",,,,,,,3.4122704312869576,-121.49943394831912,0.34630160392759124,9.582496260731771,29.395730543052064,-30.111420608656204,"2.98","1.52",,,,"83.3",2406,"6.7",776308,680779,687462,694377,669707,693304,669261,665833,672744,"53.81",,,,,,,,31,2,"Sweeper",1,3,3,1,3,1,3,1,"Standard","Standard",87,"0","-0.051",,,,"0.051",,-2,2,"0.279","0.721",23,23,23,24,2,1,6,1,,1,"3.09","-1.07","-1.07","22.6",,,,,
"ST","2025-09-16","84","-2.4","5.55","Skenes, Paul",807713,694973,,"ball",,,,,12,"Matt Shaw strikes out swinging.","R","R","R","PIT","CHC","B",,,0,0,2025,"0.96","0.54","0.96","2.61",,,,1,4,"Top",,,,,,,5.92432060713152,-122.17106609995282,-1.3523098375260179,8.037871624721667,28.72633222390801,-26.790931244468585,"3.04","1.5",,,,"84",2364,"6.8",776308,680779,687462,694377,669707,693304,669261,665833,672744,"53.75",,,,,,,,31,1,"Sweeper",1,3,3,1,3,1,3,1,"Standard","Standard",91,"0","0.04",,,,"-0.04",,-2,2,"0.279","0.721",23,23,23,24,2,1,6,1,,1,"2.75","-0.96","-0.96","24.4",,,,,
"FF","2025-09-16","97.3","-2.89","5.53","Skenes, Paul",650489,694973,"strikeout","foul_tip",,,,,5,"Willi Castro strikes out on a foul tip.","R","L","R","PIT","CHC","S",2,,1,2,2025,"-1.2","0.98","-0.05","2.85",,,,0,4,"Top",,,,,,,10.400186427383158,-141.24965651634386,-3.8324002577993026,-18.60829260677446,36.18679148817666,-18.450566816075845,"3.5","1.6",,,,"97.2",2382,"6.6",776308,680779,687462,694377,669707,693304,669261,665833,672744,"53.87",,0,"0",1,0,0,,30,4,"4-Seam Fastball",1,3,3,1,3,1,3,1,"Strategic","Standard",243,"0.017","-0.192","74.5","6.6",,"0.192",,-2,2,"0.262","0.738",23,28,23,28,2,1,6,1,,,"1.47","1.2","-1.2","23.3",1.7337644359673567,9.806998301129768,35.687922589169794,32.12800337110293,22.639152311329525
"CH","2025-09-16","89.1","-3.01","5.49","Skenes, Paul",650489,694973,,"swinging_strike",,,,,13,"Willi Castro strikes out on a foul tip.","R","L","R","PIT","CHC","S",,,1,1,2025,"-1.56","0.42","-0.28","1.24",,,,0,4,"Top",,,,,,,10.026015623777207,-129.19510271005186,-5.199750475824375,-19.659362788568306,30.983641816036293,-26.427363452771555,"3.5","1.6",,,,"88.9",1779,"6.7",776308,680779,687462,694377,669707,693304,669261,665833,672744,"53.82",,,,,,,,30,3,"Changeup",1,3,3,1,3,1,3,1,"Standard","Standard",260,"0","-0.06","68.6","9.0",,"0.06",,-2,2,"0.262","0.738",23,28,23,28,2,1,6,1,,,"2.51","1.56","-1.56","19.8",34.84791728113958,-48.69209796817301,42.85215789152274,35.54089230993097,56.828334886864205
"FF","2025-09-16","96.9","-2.9","5.53","Skenes, Paul",650489,694973,,"foul",,,,,2,"Willi Castro strikes out on a foul tip.","R","L","R","PIT","CHC","S",,,1,0,2025,"-1.11","0.84","-0.16","2.94",,,,0,4,"Top",,,,,,,9.922127978653037,-140.649060179269,-3.214288536255521,-17.072921338397975,35.1003941696035,-20.555296765589233,"3.5","1.6",55,"90.3",1,"97.1",2277,"6.8",776308,680779,687462,694377,669707,693304,669261,665833,672744,"53.74",,,,,,,,30,2,"4-Seam Fastball",1,3,3,1,3,1,3,1,"Standard","Standard",242,"0","-0.05","75.4","7.7",,"0.05","90.3",-2,2,"0.262","0.738",23,28,23,28,2,1,6,1,,,"1.62","1.11","-1.11","20.6",19.880703359311774,-17.632812740502047,31.261927542705465,34.10767898665909,38.41351581123614
"CU","2025-09-16","82.1","-3.03","5.64","Skenes, Paul",650489,694973,,"ball",,,,,14,"Willi Castro strikes out on a foul tip.","R","L","R","PIT","CHC","B",,,0,0,2025,"0.66","-0.38","0.34","0.94",,,,0,4,"Top",,,,,,,6.4186121642330525,-119.42128021741611,-3.404524312747631,5.094812084049878,22.52898684072273,-35.33299195400298,"3.45","1.52",,,,"82.8",2525,"6.7",776308,680779,687462,694377,669707,693304,669261,665833,672744,"53.78",,,,,,,,30,1,"Curveball",1,3,3,1,3,1,3,1,"Standard","Standard",70,"0","0.041",,,,"-0.041",,-2,2,"0.262","0.738",23,28,23,28,2,1,6,1,,,"3.75","-0.66","0.66","25.5",,,,,
