pitch_type,release_speed,release_pos_x,release_pos_z,events,description,zone,stand,type,hit_location,bb_type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,hit_distance_sc,launch_speed,launch_angle,release_spin_rate,release_extension,game_pk,fielder_2,launch_speed_angle,at_bat_number,pitch_number,bat_score,fld_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game
FF,98,-2.8,5.54,,foul_tip,11,L,S,,,3,1,-1.12,1.06,-1.1,3.05,,,543807,1,3,Top,,,,,,2298,6.5,776694,680779,,20,5,0,1,0,1,Standard,Standard,2,1,6
FF,97.1,-2.81,5.53,,ball,3,L,B,,,2,1,-1.21,1.03,0.61,3.62,,,543807,1,3,Top,,,,,,2306,6.7,776694,680779,,20,4,0,1,0,1,Standard,Standard,2,1,6
FF,97.2,-2.8,5.49,,swinging_strike,4,L,S,,,2,0,-1.28,1.02,-0.7,2.72,,,543807,1,3,Top,,,,,,2284,6.7,776694,680779,,20,3,0,1,0,1,Standard,Standard,2,1,6
FF,97.1,-2.77,5.56,,ball,11,L,B,,,1,0,-1.18,1.09,-0.4,4.43,,,543807,1,3,Top,,,,,,2309,6.7,776694,680779,,20,2,0,1,0,1,Standard,Standard,2,1,6
FF,97.5,-2.9,5.59,,ball,11,L,B,,,0,0,-1.18,1.14,-1.53,4.26,,,543807,1,3,Top,,,,,,2327,6.8,776694,680779,,20,1,0,1,0,1,Standard,Standard,2,1,6
FF,98.5,-2.49,5.63,force_out,hit_into_play,11,R,X,4,ground_ball,2,2,-1.21,1.24,-0.85,3.4,,,665926,0,3,Top,151.82,161.82,118,46.1,41,2448,6.6,776694,680779,1,19,5,0,1,0,1,Standard,Standard,2,1,6
FF,98,-2.36,5.62,,foul,6,R,S,,,2,1,-1.23,1.12,0.36,2.7,,,665926,0,3,Top,,,290,89.5,35,2384,6.7,776694,680779,,19,4,0,1,0,1,Standard,Standard,2,1,6
SL,84.9,-2.61,5.56,,called_strike,4,R,S,,,2,0,0.33,0.92,-0.45,2.27,,,665926,0,3,Top,,,,,,2329,6.7,776694,680779,,19,3,0,1,0,1,Standard,Standard,2,1,6
FF,95.7,-2.51,5.58,,ball,13,R,B,,,1,0,-1.38,0.63,-1,1.48,,,665926,0,3,Top,,,,,,2276,6.6,776694,680779,,19,2,0,1,0,1,Standard,Standard,2,1,6
FF,98,-2.33,5.57,,ball,14,R,B,,,0,0,-1.39,0.96,1.54,1.35,,,665926,0,3,Top,,,,,,2403,6.7,776694,680779,,19,1,0,1,0,1,Standard,Standard,2,1,6
CU,83.5,-2.99,5.69,single,hit_into_play,8,L,X,9,line_drive,0,0,0.46,-0.2,-0.13,1.83,,,,0,3,Top,163.17,89.44,231,97.2,14,2483,6.8,776694,680779,4,18,1,0,1,0,1,Standard,Standard,1,0,6
FF,98.6,-2.78,5.58,strikeout,swinging_strike,11,L,S,2,,0,2,-1.22,0.95,-0.8,3.71,676391,664770,,2,2,Top,,,,,,2303,6.7,776694,680779,,11,6,0,0,0,0,Standard,Standard,1,0,6
FF,98.5,-2.71,5.52,,foul,4,L,S,,,0,2,-1.25,1,-0.6,2.59,676391,664770,,2,2,Top,,,152,71,68,2419,6.8,776694,680779,,11,5,0,0,0,0,Standard,Standard,1,0,6
CH,89.8,-2.77,5.58,,foul,7,L,S,,,0,2,-1.35,0.94,-0.43,1.43,676391,664770,,2,2,Top,,,154,61,37,1880,6.6,776694,680779,,11,4,0,0,0,0,Standard,Standard,1,0,6
CH,89.4,-2.88,5.53,,foul,11,L,S,,,0,2,-1.42,0.74,-1.66,2.68,676391,664770,,2,2,Top,,,2,79.4,-55,1957,6.6,776694,680779,,11,3,0,0,0,0,Standard,Standard,1,0,6
CH,88.6,-2.8,5.47,,swinging_strike,14,L,S,,,0,1,-1.36,0.41,0.37,0.63,676391,,664770,2,2,Top,,,,,,1957,6.6,776694,680779,,11,2,0,0,0,0,Standard,Standard,1,0,6
FF,98.1,-2.75,5.53,,called_strike,9,L,S,,,0,0,-1.18,0.99,0.36,1.65,676391,,664770,2,2,Top,,,,,,2321,6.9,776694,680779,,11,1,0,0,0,0,Standard,Standard,1,0,6
FS,93.6,-2.74,5.59,single,hit_into_play,14,L,X,9,ground_ball,0,1,-1.04,-0.1,0.2,0.8,,,676391,2,2,Top,188.3,120.77,,,,1591,6.8,776694,680779,,10,2,0,0,0,0,Infield shade,Standard,1,0,6
FS,93.5,-2.74,5.58,,foul,8,L,S,,,0,0,-0.9,-0.01,0.21,2.14,,,676391,2,2,Top,,,2,84,-46,1540,6.6,776694,680779,,10,1,0,0,0,0,Infield shade,Standard,1,0,6
ST,83.2,-2.29,5.55,single,hit_into_play,14,R,X,7,line_drive,0,2,0.99,0.45,0.69,1.46,,,,2,2,Top,78.44,114.18,219,74.8,20,2414,6.6,776694,680779,4,9,3,0,0,0,0,Standard,Standard,1,0,6
ST,84.5,-2.35,5.52,,foul_tip,8,R,S,,,0,1,1.24,0.21,0.22,1.51,,,,2,2,Top,,,,,,2264,6.8,776694,680779,,9,2,0,0,0,0,Standard,Standard,1,0,6
FS,95.5,-2.4,5.68,,foul,13,R,S,,,0,0,-1.07,0.34,-1.14,2.25,,,,2,2,Top,,,3,79.2,-36,1663,6.7,776694,680779,,9,1,0,0,0,0,Standard,Standard,1,0,6
FF,98.9,-2.88,5.54,strikeout,swinging_strike,11,L,S,2,,2,2,-1.11,1.08,0,3.55,,,,1,2,Top,,,,,,2453,6.7,776694,680779,,8,5,0,0,0,0,Infield shade,Standard,1,0,6
FF,98.7,-2.81,5.48,,swinging_strike,5,L,S,,,2,1,-1.11,1.16,-0.04,2.33,,,,1,2,Top,,,,,,2429,6.7,776694,680779,,8,4,0,0,0,0,Standard,Standard,1,0,6
CU,84.1,-2.77,5.61,,ball,14,L,B,,,1,1,0.67,-0.23,0.74,1.1,,,,1,2,Top,,,,,,2561,6.7,776694,680779,,8,3,0,0,0,0,Standard,Standard,1,0,6
FF,97.6,-2.79,5.59,,ball,3,L,B,,,0,1,-1.08,1.22,0.59,3.12,,,,1,2,Top,,,,,,2447,6.7,776694,680779,,8,2,0,0,0,0,Standard,Standard,1,0,6
FF,98.4,-2.82,5.56,,called_strike,3,L,S,,,0,0,-1.06,0.98,0.63,3.05,,,,1,2,Top,,,,,,2255,6.8,776694,680779,,8,1,0,0,0,0,Standard,Standard,1,0,6
FF,99.1,-2.34,5.6,strikeout,called_strike,5,R,S,2,,2,2,-1.25,0.86,0.21,2.81,,,,0,2,Top,,,,,,2309,6.6,776694,680779,,7,5,0,0,0,0,Standard,Standard,1,0,6
FF,98.2,-2.33,5.61,,called_strike,8,R,S,,,2,1,-1.32,0.69,-0.1,1.69,,,,0,2,Top,,,,,,2244,6.8,776694,680779,,7,4,0,0,0,0,Standard,Standard,1,0,6
FS,94.7,-2.36,5.63,,ball,14,R,B,,,1,1,-1.06,0.78,0.14,1.32,,,,0,2,Top,,,,,,1601,6.8,776694,680779,,7,3,0,0,0,0,Standard,Standard,1,0,6
ST,82.5,-2.31,5.54,,called_strike,4,R,S,,,1,0,1.22,0.5,-0.37,2.71,,,,0,2,Top,,,,,,2393,6.8,776694,680779,,7,2,0,0,0,0,Standard,Standard,1,0,6
ST,82.8,-2.38,5.6,,ball,11,R,B,,,0,0,0.7,0.59,-1.27,3.26,,,,0,2,Top,,,,,,2262,6.4,776694,680779,,7,1,0,0,0,0,Standard,Standard,1,0,6
CH,89.5,-2.64,5.64,strikeout,swinging_strike,13,R,S,2,,2,2,-1.48,0.34,-1.83,2.26,,,,2,1,Top,,,,,,1662,6.5,776694,680779,,3,5,0,0,0,0,Standard,Standard,1,0,6
FF,99.9,-2.25,5.63,,swinging_strike,2,R,S,,,2,1,-1.06,1.08,0.06,3.06,,,,2,1,Top,,,,,,2448,6.6,776694,680779,,3,4,0,0,0,0,Standard,Standard,1,0,6
ST,83.1,-2.58,5.6,,called_strike,4,R,S,,,2,0,1.55,0.33,-0.5,2.49,,,,2,1,Top,,,,,,2467,6.6,776694,680779,,3,3,0,0,0,0,Standard,Standard,1,0,6
SI,98.4,-2.51,5.7,,ball,13,R,B,,,1,0,-1.52,0.57,-1.78,2.28,,,,2,1,Top,,,,,,2383,6.5,776694,680779,,3,2,0,0,0,0,Standard,Standard,1,0,6
SI,98.5,-2.39,5.65,,ball,13,R,B,,,0,0,-1.45,0.42,-0.94,1.68,,,,2,1,Top,,,,,,2269,6.2,776694,680779,,3,1,0,0,0,0,Standard,Standard,1,0,6
CU,84.1,-3.01,5.72,field_out,hit_into_play,7,L,X,3,ground_ball,1,2,0.38,-0.32,-0.32,2.02,,,,1,1,Top,153.34,165.87,7,102.9,-17,2716,6.4,776694,680779,2,2,5,0,0,0,0,Infield shade,Standard,1,0,6
FF,98,-2.95,5.63,,foul,3,L,S,,,1,2,-1.11,1.37,0.33,3.12,,,,1,1,Top,,,178,76.2,17,2329,6.7,776694,680779,,2,4,0,0,0,0,Infield shade,Standard,1,0,6
FF,97.8,-3.05,5.57,,swinging_strike,11,L,S,,,1,1,-1.01,1.2,-0.06,4.07,,,,1,1,Top,,,,,,2318,6.6,776694,680779,,2,3,0,0,0,0,Infield shade,Standard,1,0,6
FF,98.8,-2.95,5.63,,foul,3,L,S,,,1,0,-1.13,1.18,0.53,3.42,,,,1,1,Top,,,242,78,28,2413,6.6,776694,680779,,2,2,0,0,0,0,Infield shade,Standard,1,0,6
FF,99.4,-2.84,5.66,,ball,6,L,B,,,0,0,-1.12,0.9,0.78,2.75,,,,1,1,Top,,,,,,2561,6.3,776694,680779,,2,1,0,0,0,0,Infield shade,Standard,1,0,6
SI,99.4,-2.26,5.65,field_out,hit_into_play,6,R,X,9,fly_ball,1,0,-1,0.62,0.28,2.61,,,,0,1,Top,174.2,112.87,247,84.8,49,2306,6.5,776694,680779,3,1,2,0,0,0,0,Standard,Standard,1,0,6
ST,82,-2.46,5.55,,ball,11,R,B,,,0,0,1.46,0.11,-1.45,3.02,,,,0,1,Top,,,,,,2421,6.4,776694,680779,,1,1,0,0,0,0,Standard,Standard,1,0,6
CH,89.2,-2.84,5.5,field_out,hit_into_play,8,L,X,3,ground_ball,3,2,-1.51,0.29,-0.22,1.56,,,686217,2,4,Bot,157.9,163.84,9,89.6,-10,1708,6.8,776771,680779,2,34,6,4,0,4,0,Standard,Standard,3,2,5
FF,97,-2.75,5.6,,swinging_strike,5,L,S,,,3,1,-1.05,0.95,0.27,2.71,,,686217,2,4,Bot,,,,,,2389,6.8,776771,680779,,34,5,4,0,4,0,Standard,Standard,3,2,5
FF,97.2,-2.84,5.54,,called_strike,5,L,S,,,3,0,-0.96,1.07,-0.21,2.48,,,686217,2,4,Bot,,,,,,2331,6.7,776771,680779,,34,4,4,0,4,0,Standard,Standard,3,2,5
FS,93.1,-2.75,5.6,,ball,13,L,B,,,2,0,-1.07,-0.05,-1.19,1.57,,,686217,2,4,Bot,,,,,,1532,6.8,776771,680779,,34,3,4,0,4,0,Standard,Standard,3,2,5
CH,87.5,-2.84,5.57,,ball,13,L,B,,,1,0,-1.32,0.66,-1.16,2.23,,,686217,2,4,Bot,,,,,,1757,6.5,776771,680779,,34,2,4,0,4,0,Standard,Standard,3,2,5
FF,98.1,-2.81,5.53,,ball,11,L,B,,,0,0,-0.93,0.8,-1.13,3.12,,,686217,2,4,Bot,,,,,,2297,6.7,776771,680779,,34,1,4,0,4,0,Standard,Standard,3,2,5
FF,97,-2.76,5.58,single,hit_into_play,4,L,X,9,ground_ball,1,2,-0.85,1,-0.3,2.24,,687401,,2,4,Bot,170.06,94.42,51,104.2,1,2150,7,776771,680779,4,33,4,3,0,4,0,Standard,Standard,3,2,5
CU,82.8,-2.73,5.54,,blocked_ball,13,L,B,,,0,2,0.58,-0.29,-0.68,0.58,,687401,,2,4,Bot,,,,,,2395,6.9,776771,680779,,33,3,3,0,3,0,Standard,Standard,3,2,5
FF,97.3,-2.73,5.65,,foul_tip,4,L,S,,,0,1,-0.8,1.19,-0.47,2.54,,687401,,2,4,Bot,,,,,,2346,6.7,776771,680779,,33,2,3,0,3,0,Standard,Standard,3,2,5
CU,82.1,-2.72,5.73,,called_strike,1,L,S,,,0,0,0.57,-0.24,-0.76,3.03,,687401,,2,4,Bot,,,,,,2257,6.7,776771,680779,,33,1,3,0,3,0,Standard,Standard,3,2,5
ST,83,-2.41,5.61,double,hit_into_play,3,R,X,8,fly_ball,0,2,1.59,0.49,0.55,3.01,,,,2,4,Bot,102.59,103.54,246,71,31,2056,6.9,776771,680779,4,32,3,3,0,3,0,Standard,Standard,2,1,5
ST,81.5,-2.37,5.54,,foul,8,R,S,,,0,1,1.51,0.44,-0.1,2.14,,,,2,4,Bot,,,40,42.5,7,2322,6.7,776771,680779,,32,2,3,0,3,0,Standard,Standard,2,1,5
ST,83.2,-2.43,5.55,,called_strike,8,R,S,,,0,0,1.4,0.21,0.1,1.54,,,,2,4,Bot,,,,,,2158,7,776771,680779,,32,1,3,0,3,0,Standard,Standard,2,1,5
ST,82.7,-3.07,5.52,strikeout,called_strike,7,L,S,2,,3,2,1.1,0.33,-0.32,1.91,,,,1,4,Bot,,,,,,2211,6.9,776771,680779,,31,8,3,0,3,0,Standard,Standard,2,1,5
FF,98.7,-2.93,5.54,,foul,6,L,S,,,3,2,-0.81,1.2,0.56,2.72,,,,1,4,Bot,,,191,79.3,68,2276,6.9,776771,680779,,31,7,3,0,3,0,Standard,Standard,2,1,5
FF,99.1,-2.96,5.54,,foul,14,L,S,,,3,2,-0.91,1.04,0.69,1.56,,,,1,4,Bot,,,,,,2399,6.9,776771,680779,,31,6,3,0,3,0,Standard,Standard,2,1,5
CH,89,-3.08,5.51,,ball,13,L,B,,,2,2,-1.15,0.52,-1.97,1.97,,,,1,4,Bot,,,,,,1796,6.7,776771,680779,,31,5,3,0,3,0,Standard,Standard,2,1,5
FF,98.1,-2.85,5.55,,called_strike,14,L,S,,,2,1,-0.78,1.01,0.29,1.34,,,,1,4,Bot,,,,,,2308,7,776771,680779,,31,4,3,0,3,0,Standard,Standard,2,1,5
FF,98.8,-2.96,5.57,,ball,14,L,B,,,1,1,-0.72,1.1,1.28,2.4,,,,1,4,Bot,,,,,,2422,6.9,776771,680779,,31,3,3,0,3,0,Standard,Standard,2,1,5
FF,97.1,-3.02,5.6,,foul,4,L,S,,,1,0,-0.94,1.04,-0.45,2.49,,,,1,4,Bot,,,268,89.8,52,2223,6.7,776771,680779,,31,2,3,0,3,0,Standard,Standard,2,1,5
CU,84.5,-2.85,5.59,,ball,14,L,B,,,0,0,0.6,-0.17,0.88,1.51,,,,1,4,Bot,,,,,,2372,6.8,776771,680779,,31,1,3,0,3,0,Standard,Standard,2,1,5
FF,98.3,-2.93,5.55,home_run,hit_into_play,6,L,X,,fly_ball,3,2,-0.99,0.89,0.44,2.24,,,,1,4,Bot,154.11,24.84,437,107.8,25,2202,6.9,776771,680779,6,30,6,2,0,3,0,Standard,Standard,2,1,5
CU,82.8,-3.1,5.68,,ball,13,L,B,,,2,2,0.5,-0.31,-1.98,1.66,,,,1,4,Bot,,,,,,2231,7.1,776771,680779,,30,5,2,0,2,0,Infield shade,Standard,2,1,5
CU,83.5,-2.98,5.58,,ball,14,L,B,,,1,2,0.51,-0.34,0.52,0.52,,,,1,4,Bot,,,,,,2448,6.9,776771,680779,,30,4,2,0,2,0,Standard,Standard,2,1,5
FF,97.9,-2.93,5.51,,ball,9,L,B,,,0,2,-0.92,1,0.73,2.06,,,,1,4,Bot,,,,,,2241,6.8,776771,680779,,30,3,2,0,2,0,Standard,Standard,2,1,5
FF,98.8,-2.91,5.55,,called_strike,9,L,S,,,0,1,-0.98,1.04,0.3,2.1,,,,1,4,Bot,,,,,,2314,6.8,776771,680779,,30,2,2,0,2,0,Standard,Standard,2,1,5
CU,82.4,-2.92,5.7,,called_strike,4,L,S,,,0,0,0.62,-0.17,-0.72,2.37,,,,1,4,Bot,,,,,,2214,6.8,776771,680779,,30,1,2,0,2,0,Standard,Standard,2,1,5
ST,83.2,-2.43,5.58,field_out,hit_into_play,4,R,X,3,popup,0,1,1.17,0.38,-0.54,2.29,,,,0,4,Bot,154.35,192.22,76,77.1,75,2170,6.7,776771,680779,3,29,2,2,0,2,0,Standard,Standard,2,1,5
FF,96.7,-2.33,5.54,,called_strike,14,R,S,,,0,0,-0.84,1.17,0.9,1.55,,,,0,4,Bot,,,,,,2194,6.9,776771,680779,,29,1,2,0,2,0,Standard,Standard,2,1,5
ST,83,-2.37,5.4,field_out,hit_into_play,9,R,X,8,line_drive,1,1,0.96,0.4,0.35,1.99,,661388,592885,2,3,Bot,97.08,79.33,306,85.1,24,2365,7,776771,680779,3,24,3,2,0,2,0,Standard,Standard,2,1,5
CH,89.5,-2.61,5.47,,ball,11,R,B,,,0,1,-1.15,0.39,-1.79,2.66,,661388,592885,2,3,Bot,,,,,,1947,6.6,776771,680779,,24,2,2,0,2,0,Standard,Standard,2,1,5
ST,84.3,-2.49,5.5,,swinging_strike,12,R,S,,,0,0,1.17,0.55,0.88,2.58,,661388,592885,2,3,Bot,,,,,,2321,6.8,776771,680779,,24,1,2,0,2,0,Standard,Standard,2,1,5
CH,87.6,-3.02,5.5,walk,ball,11,L,B,,,3,2,-1.31,0.33,-2.54,2.93,,661388,,2,3,Bot,,,,,,1815,6.5,776771,680779,,23,8,2,0,2,0,Standard,Standard,2,1,5
CU,84.5,-2.79,5.53,,foul,4,L,S,,,3,2,0.64,-0.32,-0.76,2.59,,661388,,2,3,Bot,,,226,80.5,49,2370,7.1,776771,680779,,23,7,2,0,2,0,Standard,Standard,2,1,5
SI,95.5,-2.68,5.58,,ball,14,L,B,,,2,2,-1.34,0.71,1.07,2.38,,661388,,2,3,Bot,,,,,,2169,6.6,776771,680779,,23,6,2,0,2,0,Standard,Standard,2,1,5
FF,98,-2.81,5.5,,foul,4,L,S,,,2,2,-1.02,0.91,-0.67,2.62,,661388,,2,3,Bot,,,271,84.5,41,2232,6.8,776771,680779,,23,5,2,0,2,0,Standard,Standard,2,1,5
CU,84.7,-2.9,5.54,,foul,8,L,S,,,2,1,0.55,-0.14,0.21,1.63,,661388,,2,3,Bot,,,7,88.8,-13,2433,7.1,776771,680779,,23,4,2,0,2,0,Standard,Standard,2,1,5
CU,84.9,-2.68,5.53,,ball,14,L,B,,,1,1,0.59,-0.25,1.27,1.25,,661388,,2,3,Bot,,,,,,2396,6.8,776771,680779,,23,3,2,0,2,0,Standard,Standard,2,1,5
FS,93.5,-3.02,5.59,,ball,11,L,B,,,0,1,-0.6,-0.13,-2.76,2.88,,661388,,2,3,Bot,,,,,,1522,6.6,776771,680779,,23,2,2,0,2,0,Standard,Standard,2,1,5
CU,85.1,-2.86,5.53,,called_strike,7,L,S,,,0,0,0.87,-0.27,-0.56,2.28,,661388,,2,3,Bot,,,,,,2429,6.7,776771,680779,,23,1,2,0,2,0,Standard,Standard,2,1,5
FS,95.4,-2.23,5.57,double,hit_into_play,8,R,X,8,line_drive,0,1,-0.86,-0.03,0.02,2.14,,,686217,2,3,Bot,161.25,76.07,318,107.6,15,1451,6.8,776771,680779,5,22,2,1,0,2,0,Standard,Standard,2,1,5
FF,98.6,-2.27,5.51,,foul,6,R,S,,,0,0,-0.97,1.15,0.41,2.83,,,686217,2,3,Bot,,,272,88.5,48,2292,6.8,776771,680779,,22,1,1,0,1,0,Standard,Standard,2,1,5
FF,98,-2.71,5.46,strikeout,called_strike,6,L,S,2,,0,2,-1.16,0.99,0.63,2.2,,,686217,1,3,Bot,,,,,,2348,6.9,776771,680779,,21,3,1,0,1,0,Infield shade,Standard,2,1,5
CH,90,-2.83,5.49,,called_strike,11,L,S,,,0,1,-1.04,0.54,-0.94,2.89,,,686217,1,3,Bot,,,,,,1837,6.6,776771,680779,,21,2,1,0,1,0,Infield shade,Standard,2,1,5
CU,83.6,-2.82,5.46,,swinging_strike,14,L,S,,,0,0,0.42,-0.18,0.35,1.16,,,686217,1,3,Bot,,,,,,2222,6.8,776771,680779,,21,1,1,0,1,0,Standard,Standard,2,1,5
FF,99.2,-2.91,5.59,walk,ball,11,L,B,,,3,2,-0.93,1.14,-1.07,3.98,,,,1,3,Bot,,,,,,2312,6.7,776771,680779,,20,6,1,0,1,0,Infield shade,Standard,2,1,5
FF,99.4,-2.94,5.49,,called_strike,2,L,S,,,3,1,-0.79,1.28,-0.02,2.69,,,,1,3,Bot,,,,,,2232,6.9,776771,680779,,20,5,1,0,1,0,Standard,Standard,2,1,5
ST,84.9,-3.1,5.48,,ball,14,L,B,,,2,1,1.53,0.12,0.86,0.99,,,,1,3,Bot,,,,,,2283,6.9,776771,680779,,20,4,1,0,1,0,Standard,Standard,2,1,5
CH,89.3,-3.25,5.5,,ball,11,L,B,,,1,1,-1.25,0.12,-3.04,2.95,,,,1,3,Bot,,,,,,1617,6.7,776771,680779,,20,3,1,0,1,0,Standard,Standard,2,1,5
FS,92.6,-3.19,5.6,,ball,11,L,B,,,0,1,-0.72,-0.18,-1.68,3.02,,,,1,3,Bot,,,,,,1517,6.8,776771,680779,,20,2,1,0,1,0,Standard,Standard,2,1,5
FF,99.4,-2.94,5.58,,called_strike,2,L,S,,,0,0,-0.98,0.97,-0.11,2.97,,,,1,3,Bot,,,,,,2291,6.8,776771,680779,,20,1,1,0,1,0,Infield shade,Standard,2,1,5
ST,84.4,-2.51,5.5,field_out,hit_into_play,14,R,X,9,fly_ball,2,2,1.6,0.13,0.87,2.2,,,,0,3,Bot,167.45,114.44,236,72.1,41,2202,7.4,776771,680779,3,19,6,1,0,1,0,Standard,Standard,1,0,5
FS,94.6,-2.43,5.55,,foul,7,R,S,,,2,2,-0.77,-0.03,-0.66,1.88,,,,0,3,Bot,,,,,,1567,6.6,776771,680779,,19,5,1,0,1,0,Standard,Standard,1,0,5
SI,97.5,-2.32,5.54,,ball,14,R,B,,,1,2,-1.26,0.62,0.95,1.78,,,,0,3,Bot,,,,,,2166,6.8,776771,680779,,19,4,1,0,1,0,Standard,Standard,1,0,5
FF,98.4,-2.25,5.61,,called_strike,6,R,S,,,1,1,-0.97,0.98,0.64,2.32,,,,0,3,Bot,,,,,,2328,6.8,776771,680779,,19,3,1,0,1,0,Standard,Standard,1,0,5
SI,97.7,-2.27,5.63,,ball,13,R,B,,,0,1,-1.33,0.53,-0.45,1.2,,,,0,3,Bot,,,,,,2281,6.6,776771,680779,,19,2,1,0,1,0,Standard,Standard,1,0,5
SI,96.9,-2.37,5.65,,called_strike,7,R,S,,,0,0,-1.4,0.42,-0.43,2.06,,,,0,3,Bot,,,,,,2301,6.7,776771,680779,,19,1,1,0,1,0,Standard,Standard,1,0,5
FF,98.3,-2.99,5.5,strikeout,swinging_strike,11,L,S,2,,0,2,-0.82,0.94,-0.1,3.79,,,,2,2,Bot,,,,,,2116,6.9,776771,680779,,14,3,1,0,1,0,Standard,Standard,1,0,5
FF,99.1,-3.06,5.55,,foul,4,L,S,,,0,1,-1.1,0.89,-0.7,2.31,,,,2,2,Bot,,,187,81.1,15,2286,6.8,776771,680779,,14,2,1,0,1,0,Standard,Standard,1,0,5
FF,98.7,-3.03,5.56,,foul_bunt,8,L,S,,,0,0,-0.82,1.15,0.05,2.18,,,,2,2,Bot,,,,,,2160,6.8,776771,680779,,14,1,1,0,1,0,Infield shade,Standard,1,0,5
CH,90.5,-3.07,5.54,field_out,hit_into_play,8,L,X,3,ground_ball,0,1,-1.04,0.63,0.16,2.11,,,,1,2,Bot,160.94,161.82,83,83.3,6,1653,7,776771,680779,4,13,2,1,0,1,0,Standard,Standard,1,0,5
FF,98.2,-3.04,5.6,,foul,3,L,S,,,0,0,-0.83,1.15,0.33,3.13,,,,1,2,Bot,,,193,83,17,2200,6.8,776771,680779,,13,1,1,0,1,0,Standard,Standard,1,0,5
FF,98.7,-2.36,5.6,field_out,hit_into_play,1,R,X,3,popup,3,2,-0.97,0.97,-0.4,2.82,,,,0,2,Bot,176.73,171.08,145,78.5,65,2393,6.8,776771,680779,3,12,6,1,0,1,0,Standard,Standard,1,0,5
SI,97.5,-2.27,5.57,,ball,14,R,B,,,2,2,-1.31,0.35,1.08,0.57,,,,0,2,Bot,,,,,,2242,7,776771,680779,,12,5,1,0,1,0,Standard,Standard,1,0,5
ST,82.1,-2.4,5.54,,ball,7,R,B,,,1,2,1.44,0.47,-0.62,1.51,,,,0,2,Bot,,,,,,2304,6.8,776771,680779,,12,4,1,0,1,0,Standard,Standard,1,0,5
ST,81.2,-2.48,5.47,,swinging_strike,8,R,S,,,1,1,1.34,0.43,0.21,1.39,,,,0,2,Bot,,,,,,2265,7.3,776771,680779,,12,3,1,0,1,0,Standard,Standard,1,0,5
ST,84.1,-2.29,5.48,,ball,14,R,B,,,0,1,1.34,0.48,0.99,1.71,,,,0,2,Bot,,,,,,2294,7,776771,680779,,12,2,1,0,1,0,Standard,Standard,1,0,5
SI,97.8,-2.31,5.66,,called_strike,5,R,S,,,0,0,-1.4,0.33,-0.25,2.32,,,,0,2,Bot,,,,,,2230,6.8,776771,680779,,12,1,1,0,1,0,Standard,Standard,1,0,5
SI,96.5,-2.46,5.46,strikeout,swinging_strike,13,R,S,2,,1,2,-1.46,0.44,-0.87,1.4,,,592885,2,1,Bot,,,,,,2105,6.7,776771,680779,,8,5,1,0,1,0,Standard,Standard,1,0,5
ST,83.3,-2.36,5.41,,ball,14,R,B,,,0,2,1.64,0.33,1.44,1.54,,,592885,2,1,Bot,,,,,,2217,7.1,776771,680779,,8,4,1,0,1,0,Standard,Standard,1,0,5
FF,97.5,-2.44,5.51,,foul,2,R,S,,,0,2,-0.97,0.96,-0.11,2.76,,,592885,2,1,Bot,,,142,85,10,2251,6.9,776771,680779,,8,3,1,0,1,0,Standard,Standard,1,0,5
ST,83.5,-2.5,5.41,,swinging_strike,1,R,S,,,0,1,0.62,0.69,-0.65,2.93,,,592885,2,1,Bot,,,,,,2217,6.7,776771,680779,,8,2,1,0,1,0,Standard,Standard,1,0,5
SI,96.5,-2.33,5.49,,called_strike,9,R,S,,,0,0,-1.53,0.47,0.39,1.62,,,592885,2,1,Bot,,,,,,2187,6.8,776771,680779,,8,1,1,0,1,0,Standard,Standard,1,0,5
FF,98.6,-2.95,5.49,single,hit_into_play,14,L,X,8,line_drive,2,1,-0.79,1.04,0.96,2.45,,,,2,1,Bot,126.76,98.82,228,76.5,22,2231,7,776771,680779,4,7,4,1,0,1,0,Infield shade,Standard,1,0,5
CU,85.9,-3.16,5.5,,ball,14,L,B,,,1,1,0.4,-0.1,1.34,0.94,,,,2,1,Bot,,,,,,2333,6.9,776771,680779,,7,3,1,0,1,0,Infield shade,Standard,1,0,5
FF,97.3,-3.09,5.55,,ball,3,L,B,,,0,1,-0.87,0.97,0.36,3.48,,,,2,1,Bot,,,,,,2124,6.9,776771,680779,,7,2,1,0,1,0,Infield shade,Standard,1,0,5
FS,93.8,-3.18,5.62,,called_strike,5,L,S,,,0,0,-0.63,-0.03,-0.17,2.73,,,,2,1,Bot,,,,,,1461,6.8,776771,680779,,7,1,1,0,1,0,Infield shade,Standard,1,0,5
FF,98.7,-2.36,5.52,field_out,hit_into_play,9,R,X,9,fly_ball,3,2,-1.01,1,0.66,2.13,,,,1,1,Bot,221.48,100.47,337,98.4,38,2306,6.8,776771,680779,3,6,6,1,0,1,0,Standard,Standard,1,0,5
SI,98.3,-2.47,5.52,,swinging_strike,13,R,S,,,3,1,-1.46,0.24,-0.46,0.96,,,,1,1,Bot,,,,,,2275,7,776771,680779,,6,5,1,0,1,0,Standard,Standard,1,0,5
