pitch_type,release_speed,release_pos_x,release_pos_z,events,description,zone,stand,type,hit_location,bb_type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,hit_distance_sc,launch_speed,launch_angle,release_spin_rate,release_extension,game_pk,fielder_2,launch_speed_angle,at_bat_number,pitch_number,bat_score,fld_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game
FF,96.6,-2.95,5.53,,ball,11,L,B,,,1,2,-1.08,0.91,-1.67,4.31,,,608348,0,3,Top,,,,,,2208,6.7,776308,680779,,23,4,3,1,3,1,Standard,Standard,2,1,6
CH,90.2,-2.91,5.5,,swinging_strike,7,L,S,,,1,1,-1.31,0.73,-0.29,1.67,,,608348,0,3,Top,,,,,,1950,6.7,776308,680779,,23,3,3,1,3,1,Standard,Standard,2,1,6
SI,97.1,-2.78,5.52,,swinging_strike,1,L,S,,,1,0,-1.68,0.35,-0.61,2.81,,,608348,0,3,Top,,,,,,2384,6.7,776308,680779,,23,2,3,1,3,1,Standard,Standard,2,1,6
FF,97.5,-2.8,5.54,,ball,11,L,B,,,0,0,-1.1,1.13,-1.12,3.5,,,608348,0,3,Top,,,,,,2371,6.7,776308,680779,,23,1,3,1,3,1,Standard,Standard,2,1,6
FF,98.6,-2.34,5.6,single,hit_into_play,1,R,X,9,line_drive,2,2,-1.21,0.91,-0.31,3.25,,,,0,3,Top,170.94,118.67,177,78.3,14,2375,6.7,776308,680779,4,22,5,3,1,3,1,Standard,Standard,2,1,6
ST,83.1,-2.56,5.55,,ball,11,R,B,,,1,2,1.02,0.42,-0.99,4.13,,,,0,3,Top,,,,,,2311,6.7,776308,680779,,22,4,3,1,3,1,Standard,Standard,2,1,6
ST,85.8,-2.4,5.47,,ball,14,R,B,,,0,2,0.6,0.33,1.34,0.57,,,,0,3,Top,,,,,,2335,6.7,776308,680779,,22,3,3,1,3,1,Standard,Standard,2,1,6
FF,98,-2.34,5.58,,called_strike,3,R,S,,,0,1,-1.13,1.08,0.74,2.99,,,,0,3,Top,,,,,,2362,6.8,776308,680779,,22,2,3,1,3,1,Standard,Standard,2,1,6
ST,84.1,-2.43,5.52,,called_strike,9,R,S,,,0,0,0.66,0.48,0.47,2.07,,,,0,3,Top,,,,,,2221,6.7,776308,680779,,22,1,3,1,3,1,Standard,Standard,2,1,6
SI,97.5,-2.71,5.55,strikeout,called_strike,6,L,S,2,,2,2,-1.44,0.59,0.53,2.74,,,663538,2,2,Top,,,,,,2385,6.6,776308,680779,,18,7,3,1,3,1,Strategic,Standard,2,1,6
CH,90,-2.89,5.52,,foul,13,L,S,,,2,2,-1.41,0.6,-0.99,1.9,,,663538,2,2,Top,,,,,,1770,6.7,776308,680779,,18,6,3,1,3,1,Strategic,Standard,2,1,6
CU,85.2,-2.94,5.36,,blocked_ball,14,L,B,,,1,2,0.32,-0.09,0.7,0.28,,,663538,2,2,Top,,,,,,2520,6.8,776308,680779,,18,5,3,1,3,1,Strategic,Standard,2,1,6
FF,98.2,-2.9,5.56,,foul,11,L,S,,,1,2,-1.14,0.82,-0.9,3.58,,,663538,2,2,Top,,,186,98.2,8,2274,6.8,776308,680779,,18,4,3,1,3,1,Strategic,Standard,2,1,6
CH,90.1,-2.78,5.54,,foul,13,L,S,,,1,1,-1.21,0.68,-1.46,2.33,,,663538,2,2,Top,,,142,66.7,66,1819,6.7,776308,680779,,18,3,3,1,3,1,Standard,Standard,2,1,6
FF,97.9,-2.77,5.54,,ball,11,L,B,,,0,1,-1.3,1.18,-0.85,3.77,,,663538,2,2,Top,,,,,,2424,6.7,776308,680779,,18,2,3,1,3,1,Standard,Standard,2,1,6
FF,97.9,-2.81,5.55,,swinging_strike,11,L,S,,,0,0,-1.25,1.09,-0.34,3.71,,,663538,2,2,Top,,,,,,2374,6.8,776308,680779,,18,1,3,1,3,1,Standard,Standard,2,1,6
FF,97.8,-2.87,5.52,sac_fly,hit_into_play,1,L,X,8,fly_ball,2,2,-1.1,0.97,-0.38,3.23,683737,,663538,1,2,Top,122.78,55.9,354,101.1,37,2363,6.8,776308,680779,5,17,5,2,1,3,1,Standard,Standard,2,1,6
CH,90.6,-2.82,5.47,,ball,14,L,B,,,1,2,-1.42,0.33,0.07,0.8,683737,,663538,1,2,Top,,,,,,1759,6.7,776308,680779,,17,4,2,1,2,1,Standard,Standard,2,1,6
FF,98.2,-2.61,5.55,,called_strike,3,L,S,,,1,1,-1.17,1,0.4,3.19,683737,,663538,1,2,Top,,,,,,2343,6.8,776308,680779,,17,3,2,1,2,1,Standard,Standard,2,1,6
FF,98.7,-2.77,5.56,,ball,1,L,B,,,0,1,-1.15,1,-0.38,3.72,683737,,663538,1,2,Top,,,,,,2314,6.8,776308,680779,,17,2,2,1,2,1,Standard,Standard,2,1,6
FF,99,-2.8,5.54,,swinging_strike,1,L,S,,,0,0,-1.18,1.05,-0.5,3.49,683737,,663538,1,2,Top,,,,,,2378,6.8,776308,680779,,17,1,2,1,2,1,Standard,Standard,2,1,6
FF,97.3,-2.29,5.6,single,hit_into_play,5,R,X,9,line_drive,1,1,-1.48,0.85,0.23,2.17,,683737,,1,2,Top,179.07,95.3,247,105.2,12,2261,6.8,776308,680779,4,16,3,2,1,2,1,Standard,Standard,2,1,6
FF,98.8,-2.27,5.5,,ball,12,R,B,,,0,1,-1.22,1.2,0.91,2.63,,683737,,1,2,Top,,,,,,2356,6.9,776308,680779,,16,2,2,1,2,1,Standard,Standard,2,1,6
SI,98.5,-2.38,5.6,,called_strike,5,R,S,,,0,0,-1.51,0.75,0.09,2.38,,683737,,1,2,Top,,,,,,2401,6.6,776308,680779,,16,1,2,1,2,1,Standard,Standard,2,1,6
